"year","teamId","team","conference","division","expectedWins","total.games","total.wins","total.losses","total.ties","conferenceGames.games","conferenceGames.wins","conferenceGames.losses","conferenceGames.ties","homeGames.games","homeGames.wins","homeGames.losses","homeGames.ties","awayGames.games","awayGames.wins","awayGames.losses","awayGames.ties"
2022,84,"Indiana","Big Ten","East",1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0
2022,87,"Notre Dame","FBS Independents","",8.7,13,9,4,0,1,1,0,0,6,4,2,0,4,2,2,0
2022,96,"Kentucky","SEC","East",7.2,13,7,6,0,8,3,5,0,8,5,3,0,4,2,2,0
2022,97,"Louisville","ACC","Atlantic",8.3,13,8,5,0,8,4,4,0,6,5,1,0,6,2,4,0
2022,98,"Western Kentucky","Conference USA","",8.6,14,9,5,0,8,6,2,0,6,4,2,0,7,4,3,0
2022,99,"LSU","SEC","West",8.9,14,10,4,0,9,6,3,0,7,6,1,0,4,3,1,0
2022,103,"Boston College","ACC","Atlantic",3.1,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2022,113,"UMass","FBS Independents","",1.7,12,1,11,0,3,0,3,0,5,1,4,0,7,0,7,0
2022,120,"Maryland","Big Ten","East",6.8,13,8,5,0,9,4,5,0,7,5,2,0,5,2,3,0
2022,127,"Michigan State","Big Ten","East",3.9,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0
2022,130,"Michigan","Big Ten","East",12.6,14,13,1,0,10,10,0,0,8,8,0,0,4,4,0,0
2022,135,"Minnesota","Big Ten","West",9.7,13,9,4,0,9,5,4,0,7,5,2,0,5,3,2,0
2022,142,"Missouri","SEC","East",5.5,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,145,"Ole Miss","SEC","West",9.3,13,8,5,0,8,4,4,0,7,5,2,0,5,3,2,0
2022,150,"Duke","ACC","Coastal",7.4,13,9,4,0,8,5,3,0,6,5,1,0,6,3,3,0
2022,151,"East Carolina","American Athletic","",7.4,13,8,5,0,8,4,4,0,7,4,3,0,4,2,2,0
2022,152,"NC State","ACC","Atlantic",6.9,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,153,"North Carolina","ACC","Coastal",7.1,14,9,5,0,9,6,3,0,6,3,3,0,6,6,0,0
2022,154,"Wake Forest","ACC","Atlantic",8.4,13,8,5,0,8,3,5,0,7,5,2,0,5,2,3,0
2022,158,"Nebraska","Big Ten","West",5,12,4,8,0,9,3,6,0,7,2,5,0,4,2,2,0
2022,164,"Rutgers","Big Ten","East",4.9,12,4,8,0,9,1,8,0,6,2,4,0,6,2,4,0
2022,166,"New Mexico State","FBS Independents","",6.3,13,7,6,0,2,2,0,0,6,4,2,0,6,2,4,0
2022,167,"New Mexico","Mountain West","Mountain",2.4,12,2,10,0,8,0,8,0,6,2,4,0,6,0,6,0
2022,183,"Syracuse","ACC","Atlantic",6,13,7,6,0,8,4,4,0,7,5,2,0,5,2,3,0
2022,189,"Bowling Green","Mid-American","East",4.8,13,6,7,0,8,5,3,0,6,3,3,0,6,3,3,0
2022,193,"Miami (OH)","Mid-American","East",3.6,13,6,7,0,8,4,4,0,5,3,2,0,6,3,3,0
2022,194,"Ohio State","Big Ten","East",9.8,13,11,2,0,9,8,1,0,8,7,1,0,4,4,0,0
2022,195,"Ohio","Mid-American","East",7.2,14,10,4,0,9,7,2,0,6,6,0,0,6,3,3,0
2022,197,"Oklahoma State","Big 12","",5.5,13,7,6,0,9,4,5,0,7,6,1,0,5,1,4,0
2022,201,"Oklahoma","Big 12","",7.3,13,6,7,0,9,3,6,0,6,4,2,0,5,2,3,0
2022,202,"Tulsa","American Athletic","",5,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2022,204,"Oregon State","Pac-12","",11.2,13,10,3,0,9,6,3,0,6,5,1,0,5,3,2,0
2022,213,"Penn State","Big Ten","East",10.5,13,11,2,0,9,7,2,0,7,6,1,0,5,4,1,0
2022,218,"Temple","American Athletic","",4.3,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
2022,221,"Pittsburgh","ACC","Coastal",9.3,13,9,4,0,8,5,3,0,7,5,2,0,5,3,2,0
2022,228,"Clemson","ACC","Atlantic",11,14,11,3,0,9,9,0,0,7,6,1,0,4,3,1,0
2022,235,"Memphis","American Athletic","",7.6,13,7,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,238,"Vanderbilt","SEC","East",4.8,12,5,7,0,8,2,6,0,6,2,4,0,6,3,3,0
2022,239,"Baylor","Big 12","",7.4,13,6,7,0,9,4,5,0,6,3,3,0,6,3,3,0
2022,242,"Rice","Conference USA","",5.2,13,5,8,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,245,"Texas A&M","SEC","West",4.7,12,5,7,0,8,2,6,0,7,4,3,0,4,0,4,0
2022,248,"Houston","American Athletic","",8,13,8,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2022,249,"North Texas","Conference USA","",6.6,14,7,7,0,9,6,3,0,6,5,1,0,7,2,5,0
2022,251,"Texas","Big 12","",9.8,13,8,5,0,9,6,3,0,7,5,2,0,4,2,2,0
2022,252,"BYU","FBS Independents","",6.5,13,8,5,0,2,0,2,0,6,4,2,0,5,3,2,0
2022,254,"Utah","Pac-12","",9.6,14,10,4,0,10,8,2,0,6,6,0,0,6,3,3,0
2022,256,"James Madison","Sun Belt","East",8.4,11,8,3,0,8,6,2,0,6,5,1,0,5,3,2,0
2022,258,"Virginia","ACC","Coastal",4.1,10,3,7,0,7,1,6,0,6,2,4,0,4,1,3,0
2022,259,"Virginia Tech","ACC","Coastal",5,11,3,8,0,7,1,6,0,5,2,3,0,6,1,5,0
2022,264,"Washington","Pac-12","",8.2,13,11,2,0,9,7,2,0,7,7,0,0,5,3,2,0
2022,265,"Washington State","Pac-12","",5.4,13,7,6,0,9,4,5,0,7,4,3,0,5,3,2,0
2022,275,"Wisconsin","Big Ten","West",7.9,13,7,6,0,9,4,5,0,7,4,3,0,5,2,3,0
2022,276,"Marshall","Sun Belt","East",8.4,13,9,4,0,8,5,3,0,6,4,2,0,6,4,2,0
2022,277,"West Virginia","Big 12","",5.3,12,5,7,0,9,3,6,0,6,3,3,0,6,2,4,0
2022,278,"Fresno State","Mountain West","West",8.4,14,10,4,0,9,8,1,0,6,5,1,0,7,4,3,0
2022,290,"Georgia Southern","Sun Belt","East",4.3,13,6,7,0,8,3,5,0,6,4,2,0,6,2,4,0
2022,295,"Old Dominion","Sun Belt","East",1.5,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2022,309,"Louisiana","Sun Belt","West",5.7,13,6,7,0,8,4,4,0,6,4,2,0,6,2,4,0
2022,324,"Coastal Carolina","Sun Belt","East",6.1,13,9,4,0,9,6,3,0,7,6,1,0,5,3,2,0
2022,326,"Texas State","Sun Belt","West",4.4,12,4,8,0,8,2,6,0,6,4,2,0,6,0,6,0
2022,328,"Utah State","Mountain West","Mountain",5.5,13,6,7,0,8,5,3,0,6,4,2,0,6,2,4,0
2022,333,"Alabama","SEC","West",10.5,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2022,344,"Mississippi State","SEC","West",6.9,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,349,"Army","FBS Independents","",7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0
2022,356,"Illinois","Big Ten","West",10.2,13,8,5,0,9,5,4,0,7,5,2,0,5,3,2,0
2022,2005,"Air Force","Mountain West","Mountain",9.9,13,10,3,0,8,5,3,0,7,6,1,0,4,2,2,0
2022,2006,"Akron","Mid-American","East",1.5,12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
2022,2026,"Appalachian State","Sun Belt","East",7.1,12,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,2032,"Arkansas State","Sun Belt","West",4,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
2022,2050,"Ball State","Mid-American","West",3.7,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2022,2084,"Buffalo","Mid-American","East",6.1,13,7,6,0,8,5,3,0,5,3,2,0,7,3,4,0
2022,2116,"UCF","American Athletic","",7.6,14,9,5,0,9,6,3,0,7,5,2,0,6,4,2,0
2022,2117,"Central Michigan","Mid-American","West",4.4,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
2022,2132,"Cincinnati","American Athletic","",6.5,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
2022,2199,"Eastern Michigan","Mid-American","West",6.4,13,9,4,0,8,5,3,0,6,3,3,0,6,5,1,0
2022,2226,"Florida Atlantic","Conference USA","",6.6,12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
2022,2229,"Florida International","Conference USA","",2.5,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2022,2247,"Georgia State","Sun Belt","East",5.6,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
2022,2294,"Iowa","Big Ten","West",6.9,13,8,5,0,9,5,4,0,7,4,3,0,5,3,2,0
2022,2305,"Kansas","Big 12","",6.9,13,6,7,0,9,3,6,0,6,4,2,0,6,2,4,0
2022,2306,"Kansas State","Big 12","",10.1,14,10,4,0,10,8,2,0,7,5,2,0,5,4,1,0
2022,2309,"Kent State","Mid-American","East",4.1,12,5,7,0,8,4,4,0,5,3,2,0,7,2,5,0
2022,2335,"Liberty","FBS Independents","",7.3,13,8,5,0,3,2,1,0,6,4,2,0,6,4,2,0
2022,2348,"Louisiana Tech","Conference USA","",3.8,12,3,9,0,8,2,6,0,5,3,2,0,7,0,7,0
2022,2390,"Miami","ACC","Coastal",4.9,12,5,7,0,8,3,5,0,7,2,5,0,5,3,2,0
2022,2393,"Middle Tennessee","Conference USA","",7,13,8,5,0,8,4,4,0,5,3,2,0,7,4,3,0
2022,2426,"Navy","American Athletic","",7.5,12,4,8,0,8,4,4,0,5,2,3,0,5,2,3,0
2022,2429,"Charlotte","Conference USA","",2.4,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2022,2433,"Louisiana Monroe","Sun Belt","West",2.9,12,4,8,0,8,3,5,0,5,3,2,0,7,1,6,0
2022,2439,"UNLV","Mountain West","West",4.8,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,2440,"Nevada","Mountain West","West",2.1,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2022,2459,"Northern Illinois","Mid-American","West",5.7,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2022,2483,"Oregon","Pac-12","",10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0
2022,2509,"Purdue","Big Ten","West",6.7,14,8,6,0,10,6,4,0,6,4,2,0,6,4,2,0
2022,2567,"SMU","American Athletic","",6.5,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
2022,2572,"Southern Mississippi","Sun Belt","West",6.9,13,7,6,0,8,4,4,0,6,3,3,0,6,3,3,0
2022,2579,"South Carolina","SEC","East",6.8,13,8,5,0,8,4,4,0,7,5,2,0,5,3,2,0
2022,2628,"TCU","Big 12","",10.3,15,13,2,0,10,9,1,0,6,6,0,0,6,6,0,0
2022,2633,"Tennessee","SEC","East",9.7,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2022,2636,"UT San Antonio","Conference USA","",9.8,14,11,3,0,9,9,0,0,7,6,1,0,6,5,1,0
2022,2638,"UTEP","Conference USA","",4.5,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,2641,"Texas Tech","Big 12","",6.4,13,8,5,0,9,5,4,0,7,6,1,0,5,1,4,0
2022,2649,"Toledo","Mid-American","West",10.6,14,9,5,0,9,6,3,0,6,5,1,0,6,2,4,0
2022,2653,"Troy","Sun Belt","West",9.6,14,12,2,0,9,8,1,0,7,7,0,0,6,4,2,0
2022,2655,"Tulane","American Athletic","",9.1,14,12,2,0,9,8,1,0,8,6,2,0,5,5,0,0
2022,2711,"Western Michigan","Mid-American","West",4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0
2022,2751,"Wyoming","Mountain West","Mountain",6,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
